Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	LossBeforeUpdate	LossAfterUpdate	TimestepsThisBatch	TimestepsSoFar	Std
179.88738799095154	56	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-87.682655	-100.43584	11000	585039	[0.18978196]
183.15412592887878	57	1000.0	0.0	1000.0	1000.0	1000.0	0.0	61.526016	45.452362	11000	596039	[0.18989243]
186.35346293449402	58	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-45.844284	-62.67879	11000	607039	[0.18994246]
189.57171487808228	59	1000.0	0.0	1000.0	1000.0	1000.0	0.0	44.019558	15.882874	11000	618039	[0.19003615]
192.79564499855042	60	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2.8902016	8.167297	11000	629039	[0.19012444]
196.00732803344727	61	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-53.76246	-72.54053	11000	640039	[0.1901444]
199.22072911262512	62	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-104.27229	-129.99326	11000	651039	[0.1900466]
202.44891214370728	63	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-33.992798	-55.688927	11000	662039	[0.18992008]
205.63944387435913	64	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-184.95462	-239.13434	11000	673039	[0.18960921]
208.64313316345215	65	855.3333333333334	231.86610120690105	1000.0	343.0	855.3333333333334	231.86610120690105	-113.82445	66.79884	10264	683303	[0.18920904]
211.60746479034424	66	305.8787878787879	90.84143947452336	494.0	158.0	305.8787878787879	90.84143947452336	-21.08755	-198.29996	10094	693397	[0.18882424]
214.62330794334412	67	155.2153846153846	39.10636080769089	290.0	90.0	155.2153846153846	39.10636080769089	-22.015722	-537.8714	10089	703486	[0.18845223]
217.57724404335022	68	116.59302325581395	27.368024929364978	191.0	52.0	116.59302325581395	27.368024929364978	-77.77587	-245.77045	10027	713513	[0.1880332]
220.5381898880005	69	117.75294117647059	29.44902110920934	229.0	54.0	117.75294117647059	29.44902110920934	-132.74068	-513.1189	10009	723522	[0.18751836]
223.48903703689575	70	105.38947368421053	35.20624787160194	240.0	49.0	105.38947368421053	35.20624787160194	163.57764	144.21371	10012	733534	[0.18723613]
226.46223616600037	71	106.88297872340425	31.452042650230013	208.0	59.0	106.88297872340425	31.452042650230013	-101.61453	-305.28192	10047	743581	[0.18687671]
229.40584015846252	72	141.29577464788733	46.53346345999854	304.0	71.0	141.29577464788733	46.53346345999854	-76.09797	-555.11304	10032	753613	[0.18647361]
232.35091710090637	73	222.57777777777778	75.98376694733008	452.0	107.0	222.57777777777778	75.98376694733008	-25.34061	-546.8223	10016	763629	[0.1860826]
235.43200993537903	74	956.3636363636364	137.99029789825656	1000.0	520.0	956.3636363636364	137.99029789825656	97.75964	81.235115	10520	774149	[0.1858343]
238.62981295585632	75	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-28.211906	-127.14434	11000	785149	[0.18558004]
241.90292811393738	76	1000.0	0.0	1000.0	1000.0	1000.0	0.0	11.560896	-14.3385315	11000	796149	[0.18536222]
245.18453907966614	77	1000.0	0.0	1000.0	1000.0	1000.0	0.0	57.13582	340.80405	11000	807149	[0.18522629]
248.39966106414795	78	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-26.329403	321.53314	11000	818149	[0.18507521]
251.59720587730408	79	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-22.376562	196.25899	11000	829149	[0.18491451]
254.8041970729828	80	1000.0	0.0	1000.0	1000.0	1000.0	0.0	32.145676	-225.8246	11000	840149	[0.18480384]
258.00619101524353	81	1000.0	0.0	1000.0	1000.0	1000.0	0.0	34.848564	-7.4672756	11000	851149	[0.1847415]
261.2076358795166	82	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-0.33373833	-0.76221657	11000	862149	[0.18468471]
264.45745491981506	83	1000.0	0.0	1000.0	1000.0	1000.0	0.0	74.10539	76.2034	11000	873149	[0.18471439]
268.3827750682831	84	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-55.529964	-75.50357	11000	884149	[0.1846804]
271.7627820968628	85	1000.0	0.0	1000.0	1000.0	1000.0	0.0	25.612732	32.697815	11000	895149	[0.18467782]
275.022891998291	86	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-28.619362	-25.481087	11000	906149	[0.18464383]
278.6805109977722	87	1000.0	0.0	1000.0	1000.0	1000.0	0.0	28.700613	26.42115	11000	917149	[0.184645]
281.92174100875854	88	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-45.507523	-41.334713	11000	928149	[0.18459524]
285.14868092536926	89	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-57.143936	-70.54637	11000	939149	[0.18448633]
288.3707010746002	90	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-45.51044	-52.729523	11000	950149	[0.18433684]
291.5953450202942	91	1000.0	0.0	1000.0	1000.0	1000.0	0.0	12.657255	-5.242531	11000	961149	[0.18421595]
294.84985995292664	92	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-0.50883484	-15.94478	11000	972149	[0.18410602]
298.70016407966614	93	1000.0	0.0	1000.0	1000.0	1000.0	0.0	50.53086	57.04837	11000	983149	[0.18406431]
302.3826642036438	94	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-54.100105	-91.574066	11000	994149	[0.18396492]
305.75893902778625	95	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-80.633644	-78.1216	11000	1005149	[0.18378358]
309.091952085495	96	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-33.336163	-55.52887	11000	1016149	[0.18358167]
313.02149391174316	97	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-44.765556	-50.540707	11000	1027149	[0.18334813]
316.39808082580566	98	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-90.63168	-92.255264	11000	1038149	[0.18303493]
319.694030046463	99	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-126.55295	-135.96489	11000	1049149	[0.18261246]
